
2024/07/07 (07:32:49) | ===> btop++ v.1.3.2
2024/07/07 (07:32:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (07:34:43) | ===> btop++ v.1.3.2
2024/07/07 (07:34:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (07:34:47) | ===> btop++ v.1.3.2
2024/07/07 (07:34:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (07:37:57) | ===> btop++ v.1.3.2
2024/07/07 (07:37:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (08:14:07) | ===> btop++ v.1.3.2
2024/07/07 (08:14:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (08:15:20) | ===> btop++ v.1.3.2
2024/07/07 (08:15:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (08:17:45) | ===> btop++ v.1.3.2
2024/07/07 (08:17:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (08:19:55) | ===> btop++ v.1.3.2
2024/07/07 (08:19:55) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (08:21:42) | ===> btop++ v.1.3.2
2024/07/07 (08:21:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (08:26:41) | ===> btop++ v.1.3.2
2024/07/07 (08:26:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (08:37:46) | ===> btop++ v.1.3.2
2024/07/07 (08:37:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (08:41:19) | ===> btop++ v.1.3.2
2024/07/07 (08:41:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (08:48:36) | ===> btop++ v.1.3.2
2024/07/07 (08:48:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (09:04:59) | ===> btop++ v.1.3.2
2024/07/07 (09:04:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (09:05:11) | ===> btop++ v.1.3.2
2024/07/07 (09:05:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (09:07:28) | ===> btop++ v.1.3.2
2024/07/07 (09:07:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (09:23:40) | ===> btop++ v.1.3.2
2024/07/07 (09:23:40) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (09:32:51) | ===> btop++ v.1.3.2
2024/07/07 (09:32:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (09:34:37) | ===> btop++ v.1.3.2
2024/07/07 (09:34:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (09:34:39) | ===> btop++ v.1.3.2
2024/07/07 (09:34:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (09:34:41) | ===> btop++ v.1.3.2
2024/07/07 (09:34:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (16:14:44) | ===> btop++ v.1.3.2
2024/07/07 (16:14:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/11 (22:32:09) | ===> btop++ v.1.3.2
2024/07/11 (22:32:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/11 (22:32:10) | ===> btop++ v.1.3.2
2024/07/11 (22:32:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/11 (22:32:11) | ===> btop++ v.1.3.2
2024/07/11 (22:32:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/11 (22:32:13) | ===> btop++ v.1.3.2
2024/07/11 (22:32:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/11 (22:32:40) | ===> btop++ v.1.3.2
2024/07/11 (22:32:40) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/11 (22:53:13) | ===> btop++ v.1.3.2
2024/07/11 (22:53:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/11 (22:55:47) | ===> btop++ v.1.3.2
2024/07/11 (22:55:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/11 (22:55:50) | ===> btop++ v.1.3.2
2024/07/11 (22:55:50) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/11 (23:03:49) | ===> btop++ v.1.3.2
2024/07/11 (23:03:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/13 (20:51:45) | ===> btop++ v.1.3.2
2024/07/13 (20:51:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/13 (21:20:36) | ===> btop++ v.1.3.2
2024/07/13 (21:20:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/13 (21:21:56) | ===> btop++ v.1.3.2
2024/07/13 (21:21:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/13 (21:22:41) | ===> btop++ v.1.3.2
2024/07/13 (21:22:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/13 (21:24:28) | ===> btop++ v.1.3.2
2024/07/13 (21:24:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/17 (22:06:08) | ===> btop++ v.1.3.2
2024/08/17 (22:06:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported
